Keyword,PMID,Title,Journal,Abstract,Publication Date
"""Bioinformatics Tools"" AND ""Comparative genomics""",26460164,Implementation and assessment of a yeast orphan gene research project: involving undergraduates in authentic research experiences and progressing our understanding of uncharacterized open reading frames.,"Yeast (Chichester, England)","Saccharomyces cerevisiae was the first eukaryotic organism to be sequenced; however, little progress has been made in recent years in furthering our understanding of all open reading frames (ORFs). From October 2012 to May 2015 the number of verified ORFs had only risen from 75.31% to 78%, while the number of uncharacterized ORFs had decreased from 12.8% to 11% (representing > 700 genes still left in this category; http://www.yeastgenome.org/genomesnapshot). Course-based research has been shown to increase student learning while providing experience with real scientific investigation; however, implementation in large, multi-section courses presents many challenges. This study sought to test the feasibility and effectiveness of incorporating authentic research into a core genetics course, with multiple instructors, to increase student learning and progress our understanding of uncharacterized ORFs. We generated a module-based annotation toolkit and utilized easily accessible bioinformatics tools to predict gene function for uncharacterized ORFs within the Saccharomyces Genome Database (SGD). Students were each assigned an uncharacterized ORF, which they annotated using contemporary comparative genomics methodologies, including multiple sequence alignment, conserved domain identification, signal peptide prediction and cellular localization algorithms. Student learning outcomes were measured by quizzes, project reports and presentations, as well as a post-project questionnaire. Our results indicate that the authentic research experience had positive impacts on students' perception of their learning and their confidence to conduct future research. Furthermore, we believe that creation of an online repository and adoption and/or adaptation of this project across multiple researchers and institutions could speed the process of gene function prediction.",2016 Feb
"""Bioinformatics Tools"" AND ""Comparative genomics""",26690577,"Development of a Rhizoctonia solani AG1-IB Specific Gene Model Enables Comparative Genome Analyses between Phytopathogenic R. solani AG1-IA, AG1-IB, AG3 and AG8 Isolates.",PloS one,"Rhizoctonia solani, a soil-born plant pathogenic basidiomycetous fungus, affects various economically important agricultural and horticultural crops. The draft genome sequence for the R. solani AG1-IB isolate 7/3/14 as well as a corresponding transcriptome dataset (Expressed Sequence Tags--ESTs) were established previously. Development of a specific R. solani AG1-IB gene model based on GMAP transcript mapping within the eukaryotic gene prediction platform AUGUSTUS allowed detection of new genes and provided insights into the gene structure of this fungus. In total, 12,616 genes were recognized in the genome of the AG1-IB isolate. Analysis of predicted genes by means of different bioinformatics tools revealed new genes whose products potentially are involved in degradation of plant cell wall components, melanin formation and synthesis of secondary metabolites. Comparative genome analyses between members of different R. solani anastomosis groups, namely AG1-IA, AG3 and AG8 and the newly annotated R. solani AG1-IB genome were performed within the comparative genomics platform EDGAR. It appeared that only 21 to 28% of all genes encoded in the draft genomes of the different strains were identified as core genes. Based on Average Nucleotide Identity (ANI) and Average Amino-acid Identity (AAI) analyses, considerable sequence differences between isolates representing different anastomosis groups were identified. However, R. solani isolates form a distinct cluster in relation to other fungi of the phylum Basidiomycota. The isolate representing AG1-IB encodes significant more genes featuring predictable functions in secondary metabolite production compared to other completely sequenced R. solani strains. The newly established R. solani AG1-IB 7/3/14 gene layout now provides a reliable basis for post-genomics studies.",2015
"""Bioinformatics Tools"" AND ""Comparative genomics""",27363390,A De-Novo Genome Analysis Pipeline (DeNoGAP) for large-scale comparative prokaryotic genomics studies.,BMC bioinformatics,"BACKGROUND: Comparative analysis of whole genome sequence data from closely related prokaryotic species or strains is becoming an increasingly important and accessible approach for addressing both fundamental and applied biological questions. While there are number of excellent tools developed for performing this task, most scale poorly when faced with hundreds of genome sequences, and many require extensive manual curation. RESULTS: We have developed a de-novo genome analysis pipeline (DeNoGAP) for the automated, iterative and high-throughput analysis of data from comparative genomics projects involving hundreds of whole genome sequences. The pipeline is designed to perform reference-assisted and de novo gene prediction, homolog protein family assignment, ortholog prediction, functional annotation, and pan-genome analysis using a range of proven tools and databases. While most existing methods scale quadratically with the number of genomes since they rely on pairwise comparisons among predicted protein sequences, DeNoGAP scales linearly since the homology assignment is based on iteratively refined hidden Markov models. This iterative clustering strategy enables DeNoGAP to handle a very large number of genomes using minimal computational resources. Moreover, the modular structure of the pipeline permits easy updates as new analysis programs become available. CONCLUSION: DeNoGAP integrates bioinformatics tools and databases for comparative analysis of a large number of genomes. The pipeline offers tools and algorithms for annotation and analysis of completed and draft genome sequences. The pipeline is developed using Perl, BioPerl and SQLite on Ubuntu Linux version 12.04 LTS. Currently, the software package accompanies script for automated installation of necessary external programs on Ubuntu Linux; however, the pipeline should be also compatible with other Linux and Unix systems after necessary external programs are installed. DeNoGAP is freely available at https://sourceforge.net/projects/denogap/ .",2016 Jun 30
"""Bioinformatics Tools"" AND ""Comparative genomics""",27424761,Sequence Search and Comparative Genomic Analysis of SUMO-Activating Enzymes Using CoGe.,"Methods in molecular biology (Clifton, N.J.)","The growing number of genome sequences completed during the last few years has made necessary the development of bioinformatics tools for the easy access and retrieval of sequence data, as well as for downstream comparative genomic analyses. Some of these are implemented as online platforms that integrate genomic data produced by different genome sequencing initiatives with data mining tools as well as various comparative genomic and evolutionary analysis possibilities.Here, we use the online comparative genomics platform CoGe ( http://www.genomevolution.org/coge/ ) (Lyons and Freeling. Plant J 53:661-673, 2008; Tang and Lyons. Front Plant Sci 3:172, 2012) (1) to retrieve the entire complement of orthologous and paralogous genes belonging to the SUMO-Activating Enzymes 1 (SAE1) gene family from a set of species representative of the Brassicaceae plant eudicot family with genomes fully sequenced, and (2) to investigate the history, timing, and molecular mechanisms of the gene duplications driving the evolutionary expansion and functional diversification of the SAE1 family in Brassicaceae.",2016
"""Bioinformatics Tools"" AND ""Comparative genomics""",27424763,Bioinformatics Tools for Exploring the SUMO Gene Network.,"Methods in molecular biology (Clifton, N.J.)","Plant sumoylation research has seen significant advances in recent years, particularly since high-throughput proteomics strategies have enabled the discovery of hundreds of potential SUMO targets and interactors of SUMO pathway components. In the present chapter, we introduce the SUMO Gene Network (SGN), a curated assembly of Arabidopsis thaliana genes that have been functionally associated with sumoylation, from SUMO pathway components to targets and interactors. The enclosed tutorial helps interpret and manage these datasets, and details bioinformatics tools that can be used for in silico-based hypothesis generation. The latter include tools for sumoylation site prediction, comparative genomics, and gene network analysis.",2016
"""Bioinformatics Tools"" AND ""Comparative genomics""",27499678,Enhancement of Plant Productivity in the Post-Genomics Era.,Current genomics,"Obtaining high plant yield is not always achievable in agricultural activity as it is determined by various factors, including cultivar quality, nutrient and water supplies, degree of infection by pathogens, natural calamities and soil conditions, which affect plant growth and development. More noticeably, sustainable plant productivity to provide sufficient food for the increasing human population has become a thorny issue to scientists in the era of unpredictable global climatic changes, appearance of more tremendous or multiple stresses, and land restriction for cultivation. Well-established agricultural management by agrotechnological means has shown no longer to be effective enough to confront with this challenge. Instead, in order to maximize the production, it is advisable to implement such practices in combination with biological applications. Nowadays, high technologies are widely adopted into agricultural production, biological diversity conservation and crop improvement. Wang et al. has nicely outlined the utilization of DNA-based technologies in this field. Among these are the applications of (i) DNA markers into cultivar identification, seed purity analysis, germplasm resource evaluation, heterosis prediction, genetic mapping, cloning and breeding; and (ii) gene expression data in supporting the description of crop phenology, the analytic comparison of crop growth under stress versus non-stress conditions, or the study of fertilizer effects. Besides, various purposes of using transgenic technologies in agriculture, such as generating cultivars with better product quality, better tolerance to biotic or abiotic stress, are also discussed in the review. One of the important highlights in this issue is the review of the benefits brought by high-throughput sequencing technology, which is also known as next-generation sequencing (NGS). It is not so difficult to recognize that its application has allowed us to carry out biological studies at much deeper level and larger scale. In their article, Onda and Mochida detailed how to use these technologies in fully characterizing the genetic diversity or multigenecity within a particular plant species. The authors discussed the constant innovation of sequencing platforms which has made sequencing technologies become more superior and more powerful than ever before. Additionally, the efforts result in not only further cut down of the sequencing cost and increase in the sequencing speed, but also improvement in sequencing accuracy and extended sequencing application to studies at both DNA and RNA levels. Such knowledge will help the scientists interpret, at least partially, how plants can adapt to various environmental conditions, or how different cultivars can respond differently to the same stress. Another article by Ong et al. also laid emphasis on the importance of various high-throughput sequencing platforms, thanks to which a large number of genomic databases supplied with detailed annotation and useful bioinformatics tools have been established to assist geneticists. Readers can find in this review the summary of available plant-specific genomic databases up-to-date and popular web-based resources that are relevant for comparative genomics, plant evolution and phylogenomics studies. These, along with other approaches, such as quantitative trait locus and genome-wide association study, will lay foundation for prediction and identification of genes or alleles responsible for valuable agronomic traits, contributing to the enhancement of plant productivity by genetic engineering approach. In this thematic issue, specific examples for crop improvement are also demonstrated. The first showcase is given by Nongpiur et al. who provided evidence that synergistic employment of genomics approaches and high-throughput gene expression methods have aided in dissecting the salinity-responsive signaling pathway, identifying genes involved in the stress response and selecting candidate genes for further characterization aimed at generating new cultivars with better salinity stress tolerance. This paper is also a good reference source for readers who wish to get an overview about the general process from gene prediction to validation by experiments, including the details on techniques and approaches used. Another demonstration is provided by Khan et al. whose interest is enhancement of drought tolerance in crops. The focus of this article is to overview our current understanding of mechanisms regulating plants responses to drought. Evaluation of plant performance to drought and production of new elite varieties with better drought tolerance on the basis of using phenotyping and genomics-assisted breeding are also well discussed. In addition to the topics of environmental stress tolerance in plants, current knowledge on improving biotic stress tolerance is also summarized in our issue. Current picture on crosstalk of signaling mechanisms in rice between its immune system and symbiosis with microorganisms is presented by Akamatsu et al. Rice responses to bacteria and fungi via interactions between the plant pattern recognition receptors and the molecular microbe-associated molecular patterns are described in detail and suggested as targets for manipulation in order to increase disease resistance in crops. On the other hand, Bouain et al. are concerned about nutrient deficiency; specifically, how plant root system develops under growing conditions with inadequate phosphate. The authors overviewed our current understanding of the low phosphate-responsive mechanisms in Arabidopsis model plant, which was gained by using a combination of various advanced methods, including high-througput phenotyping, system biology analysis and ""omics"" technologies. Stress management in plants is proposed to be also achievable by regulating activities of cyclic nucleotide-gated ion channels. As emphasized in the paper of Jha et al., the application of such channels is important in mediating cellular ion homeostasis and plant tolerance to both biotic and abiotic stresses. In summary, with recent progresses in biological and biotechnological areas, especially rapid development of advanced technologies in biological system modeling, functional genomics, computer-based analyzing tools, genetic engineering and molecular breeding, biological control and biotechnological applications in agriculture have brought about an extraordinary revolution and have been considered the most powerful approaches in maintaining or even increasing crop yield. Therefore, in this issue, we would like to introduce to the audience a collection of various strategies used for enhancing crop productivity, with the focus on advanced biological-biotechnological platforms in the post-genomics era.",2016 Aug
"""Bioinformatics Tools"" AND ""Comparative genomics""",27499685,Bioinformatics Approach in Plant Genomic Research.,Current genomics,"The advance in genomics technology leads to the dramatic change in plant biology research. Plant biologists now easily access to enormous genomic data to deeply study plant high-density genetic variation at molecular level. Therefore, fully understanding and well manipulating bioinformatics tools to manage and analyze these data are essential in current plant genome research. Many plant genome databases have been established and continued expanding recently. Meanwhile, analytical methods based on bioinformatics are also well developed in many aspects of plant genomic research including comparative genomic analysis, phylogenomics and evolutionary analysis, and genome-wide association study. However, constantly upgrading in computational infrastructures, such as high capacity data storage and high performing analysis software, is the real challenge for plant genome research. This review paper focuses on challenges and opportunities which knowledge and skills in bioinformatics can bring to plant scientists in present plant genomics era as well as future aspects in critical need for effective tools to facilitate the translation of knowledge from new sequencing data to enhancement of plant productivity.",2016 Aug
"""Bioinformatics Tools"" AND ""Comparative genomics""",27625390,The PathoYeastract database: an information system for the analysis of gene and genomic transcription regulation in pathogenic yeasts.,Nucleic acids research,"We present the PATHOgenic YEAst Search for Transcriptional Regulators And Consensus Tracking (PathoYeastract - http://pathoyeastract.org) database, a tool for the analysis and prediction of transcription regulatory associations at the gene and genomic levels in the pathogenic yeasts Candida albicans and C. glabrata Upon data retrieval from hundreds of publications, followed by curation, the database currently includes 28 000 unique documented regulatory associations between transcription factors (TF) and target genes and 107 DNA binding sites, considering 134 TFs in both species. Following the structure used for the YEASTRACT database, PathoYeastract makes available bioinformatics tools that enable the user to exploit the existing information to predict the TFs involved in the regulation of a gene or genome-wide transcriptional response, while ranking those TFs in order of their relative importance. Each search can be filtered based on the selection of specific environmental conditions, experimental evidence or positive/negative regulatory effect. Promoter analysis tools and interactive visualization tools for the representation of TF regulatory networks are also provided. The PathoYeastract database further provides simple tools for the prediction of gene and genomic regulation based on orthologous regulatory associations described for other yeast species, a comparative genomics setup for the study of cross-species evolution of regulatory networks.",2017 Jan 4
"""Bioinformatics Tools"" AND ""Comparative genomics""",27866051,Insights into structure and function of 30S Ribosomal Protein S2 (30S2) in Chlamydophila pneumoniae: A potent target of pneumonia.,Computational biology and chemistry,"The gene 30S ribosomal protein S2 (30S2) is identified as a potential drug and vaccine target for Pneumonia. Its structural characterization is an important to understand the mechanism of action for identifying its receptor and/or other binding partners. The comparative genomics and proteomics studies are useful for structural characterization of 30S2 in C. Pneumoniae using different bioinformatics tools and web servers. In this study, the protein 30S2 structure was modelled and validated by Ramachandran plot. It is found that the modelled protein under most favoured ""core"" region was 88.7% and overall G-factor statistics with average score was -0.20. However, seven sequential motifs have been identified for 30S2 with reference codes (PR0095, PF0038, TIGR01012, PTHR11489, SSF52313 and PTHR11489). In addition, seven structural highly conserved residues have been identified in the large cleft are Lys160, Gly161and Arg162 with volume 1288.83A(3) and average depth of the cleft was 10.75A. Moreover, biological functions, biochemical process and structural constituents of ribosome are also explored. The study will be helped us to understand the sequential, structural, functional and evolutionary clues of unknown proteins available in C. Pneumoniae.",2017 Feb
"""Bioinformatics Tools"" AND ""Comparative genomics""",28217007,Computational Tools for Genomic Studies in Plants.,Current genomics,"In recent years, the genomic sequence of numerous plant species including the main crop species has been determined. Computational tools have been developed to deal with the issue of which plant has been sequenced and where is the sequence hosted. In this mini-review, the databases for genome projects, the databases created to host species/clade projects and the databases developed to perform plant comparative genomics are revised. Because of their importance in modern research, an in-depth analysis of the plant comparative genomics databases has been performed. This comparative analysis is focused in the common and specific computational tools developed to achieve the particular objectives of each database. Besides, emerging high-performance bioinformatics tools specific for plant research are commented. What kind of computational approaches should be implemented in next years to efficiently analyze plant genomes is discussed.",2016 Dec
"""Bioinformatics Tools"" AND ""Comparative genomics""",28279853,Search for 5'-leader regulatory RNA structures based on gene annotation aided by the RiboGap database.,"Methods (San Diego, Calif.)","The discovery of noncoding RNAs (ncRNAs) and their importance for gene regulation led us to develop bioinformatics tools to pursue the discovery of novel ncRNAs. Finding ncRNAs de novo is challenging, first due to the difficulty of retrieving large numbers of sequences for given gene activities, and second due to exponential demands on calculation needed for comparative genomics on a large scale. Recently, several tools for the prediction of conserved RNA secondary structure were developed, but many of them are not designed to uncover new ncRNAs, or are too slow for conducting analyses on a large scale. Here we present various approaches using the database RiboGap as a primary tool for finding known ncRNAs and for uncovering simple sequence motifs with regulatory roles. This database also can be used to easily extract intergenic sequences of eubacteria and archaea to find conserved RNA structures upstream of given genes. We also show how to extend analysis further to choose the best candidate ncRNAs for experimental validation.",2017 Mar 15
"""Bioinformatics Tools"" AND ""Comparative genomics""",28447043,Comparative genomics of human stem cell factor (SCF).,Molecular biology research communications,"Stem cell factor (SCF) is a critical protein with key roles in the cell such as hematopoiesis, gametogenesis and melanogenesis. In the present study a comparative analysis on nucleotide sequences of SCF was performed in Humanoids using bioinformatics tools including NCBI-BLAST, MEGA6, and JBrowse. Our analysis of nucleotide sequences to find closely evolved organisms with high similarity by NCBI-BLAST tools and MEGA6 showed that human and Chimpanzee (Pan troglodytes) were placed into the same cluster. By using JBrowse, we found that SCF in Neanderthal had a single copy number similar to modern human and partly conserved nucleotide sequences. Together, the results approved the gene flow and genetics similarity of SCF among human and P. troglodytes. This may suggest that during evolution, SCF gene transferred partly intact either on the basis of sequence or function from the same ancestors to P. troglodytes, the ancient human like Neanderthal, and then to the modern human.",2017 Mar
"""Bioinformatics Tools"" AND ""Comparative genomics""",28449639,"CloVR-Comparative: automated, cloud-enabled comparative microbial genome sequence analysis pipeline.",BMC genomics,"BACKGROUND: The benefit of increasing genomic sequence data to the scientific community depends on easy-to-use, scalable bioinformatics support. CloVR-Comparative combines commonly used bioinformatics tools into an intuitive, automated, and cloud-enabled analysis pipeline for comparative microbial genomics. RESULTS: CloVR-Comparative runs on annotated complete or draft genome sequences that are uploaded by the user or selected via a taxonomic tree-based user interface and downloaded from NCBI. CloVR-Comparative runs reference-free multiple whole-genome alignments to determine unique, shared and core coding sequences (CDSs) and single nucleotide polymorphisms (SNPs). Output includes short summary reports and detailed text-based results files, graphical visualizations (phylogenetic trees, circular figures), and a database file linked to the Sybil comparative genome browser. Data up- and download, pipeline configuration and monitoring, and access to Sybil are managed through CloVR-Comparative web interface. CloVR-Comparative and Sybil are distributed as part of the CloVR virtual appliance, which runs on local computers or the Amazon EC2 cloud. Representative datasets (e.g. 40 draft and complete Escherichia coli genomes) are processed in <36 h on a local desktop or at a cost of <$20 on EC2. CONCLUSIONS: CloVR-Comparative allows anybody with Internet access to run comparative genomics projects, while eliminating the need for on-site computational resources and expertise.",2017 Apr 27
"""Bioinformatics Tools"" AND ""Comparative genomics""",28542514,PanWeb: A web interface for pan-genomic analysis.,PloS one,"With increased production of genomic data since the advent of next-generation sequencing (NGS), there has been a need to develop new bioinformatics tools and areas, such as comparative genomics. In comparative genomics, the genetic material of an organism is directly compared to that of another organism to better understand biological species. Moreover, the exponentially growing number of deposited prokaryote genomes has enabled the investigation of several genomic characteristics that are intrinsic to certain species. Thus, a new approach to comparative genomics, termed pan-genomics, was developed. In pan-genomics, various organisms of the same species or genus are compared. Currently, there are many tools that can perform pan-genomic analyses, such as PGAP (Pan-Genome Analysis Pipeline), Panseq (Pan-Genome Sequence Analysis Program) and PGAT (Prokaryotic Genome Analysis Tool). Among these software tools, PGAP was developed in the Perl scripting language and its reliance on UNIX platform terminals and its requirement for an extensive parameterized command line can become a problem for users without previous computational knowledge. Thus, the aim of this study was to develop a web application, known as PanWeb, that serves as a graphical interface for PGAP. In addition, using the output files of the PGAP pipeline, the application generates graphics using custom-developed scripts in the R programming language. PanWeb is freely available at http://www.computationalbiology.ufpa.br/panweb.",2017
"""Bioinformatics Tools"" AND ""Comparative genomics""",28637205,Evolution and comparative genomics of pAQU-like conjugative plasmids in Vibrio species.,The Journal of antimicrobial chemotherapy,"OBJECTIVES: To investigate a set of MDR conjugative plasmids found in Vibrio species and characterize the underlying evolution process. METHODS: pAQU-type plasmids from Vibrio species were sequenced using both Illumina and PacBio platforms. Bioinformatics tools were utilized to analyse the typical MDR regions and core genes in the plasmids. RESULTS: The nine pAQU-type plasmids ranged from  approximately 160 to 206 kb in size and were found to harbour as many as 111 core genes encoding conjugative, replication and maintenance functions. Eight plasmids were found to carry a typical MDR region, which contained various accessory and resistance genes, including ISCR1-blaPER-1-bearing complex class 1 integrons, ISCR2-floR, ISCR2-tet(D)-tetR-ISCR2, qnrVC6, a Tn10-like structure and others associated with mobile elements. Comparison between a plasmid without resistance genes and different MDR plasmids showed that integration of different mobile elements, such as IS26, ISCR1, ISCR2, IS10 and IS6100, into the plasmid backbone was the key mechanism by which foreign resistance genes were acquired during the evolution process. CONCLUSIONS: This study identified pAQU-type plasmids as emerging MDR conjugative plasmids among important pathogens from different origins in Asia. These findings suggest that aquatic bacteria constitute a major reservoir of resistance genes, which may be transmissible to other human pathogens during food production and processing.",2017 Sep 1
"""Bioinformatics Tools"" AND ""Comparative genomics""",28885173,Next-Generation Sequencing Promoted the Release of Reference Genomes and Discovered Genome Evolution in Cereal Crops.,Current issues in molecular biology,"In recent decades, next-generation sequencing (NGS) was developed and brought biology into a new era. Rice, maize, wheat, sorghum and barley are the most important cereal crops and feed most of the world's population. Great progress in the study of cereal genomes has been made with the help of NGS. Reference genome sequence assembly and re-sequencing have grown exponentially. Thus, evolution and comparative genomics are renewed, including origin verification, evolution tracking and so on. In this review, we briefly record the development of sequencing technology, the comparison of next-generation sequencing methods and platforms and summarize the bioinformatics tools used for NGS data analysis. We describe how NGS accelerates reference genome assembly and new evolutionary findings. We finally discuss how to discover more valuable resources and improve cereal breeding in the future.",2018
"""Bioinformatics Tools"" AND ""Comparative genomics""",28886750,Evidence-based gene models for structural and functional annotations of the oil palm genome.,Biology direct,"BACKGROUND: Oil palm is an important source of edible oil. The importance of the crop, as well as its long breeding cycle (10-12 years) has led to the sequencing of its genome in 2013 to pave the way for genomics-guided breeding. Nevertheless, the first set of gene predictions, although useful, had many fragmented genes. Classification and characterization of genes associated with traits of interest, such as those for fatty acid biosynthesis and disease resistance, were also limited. Lipid-, especially fatty acid (FA)-related genes are of particular interest for the oil palm as they specify oil yields and quality. This paper presents the characterization of the oil palm genome using different gene prediction methods and comparative genomics analysis, identification of FA biosynthesis and disease resistance genes, and the development of an annotation database and bioinformatics tools. RESULTS: Using two independent gene-prediction pipelines, Fgenesh++ and Seqping, 26,059 oil palm genes with transcriptome and RefSeq support were identified from the oil palm genome. These coding regions of the genome have a characteristic broad distribution of GC(3) (fraction of cytosine and guanine in the third position of a codon) with over half the GC(3)-rich genes (GC(3) >/= 0.75286) being intronless. In comparison, only one-seventh of the oil palm genes identified are intronless. Using comparative genomics analysis, characterization of conserved domains and active sites, and expression analysis, 42 key genes involved in FA biosynthesis in oil palm were identified. For three of them, namely EgFABF, EgFABH and EgFAD3, segmental duplication events were detected. Our analysis also identified 210 candidate resistance genes in six classes, grouped by their protein domain structures. CONCLUSIONS: We present an accurate and comprehensive annotation of the oil palm genome, focusing on analysis of important categories of genes (GC(3)-rich and intronless), as well as those associated with important functions, such as FA biosynthesis and disease resistance. The study demonstrated the advantages of having an integrated approach to gene prediction and developed a computational framework for combining multiple genome annotations. These results, available in the oil palm annotation database ( http://palmxplore.mpob.gov.my ), will provide important resources for studies on the genomes of oil palm and related crops. REVIEWERS: This article was reviewed by Alexander Kel, Igor Rogozin, and Vladimir A. Kuznetsov.",2017 Sep 8
"""Bioinformatics Tools"" AND ""Comparative genomics""",29029611,Identification of 15 candidate structured noncoding RNA motifs in fungi by comparative genomics.,BMC genomics,"BACKGROUND: With the development of rapid and inexpensive DNA sequencing, the genome sequences of more than 100 fungal species have been made available. This dataset provides an excellent resource for comparative genomics analyses, which can be used to discover genetic elements, including noncoding RNAs (ncRNAs). Bioinformatics tools similar to those used to uncover novel ncRNAs in bacteria, likewise, should be useful for searching fungal genomic sequences, and the relative ease of genetic experiments with some model fungal species could facilitate experimental validation studies. RESULTS: We have adapted a bioinformatics pipeline for discovering bacterial ncRNAs to systematically analyze many fungal genomes. This comparative genomics pipeline integrates information on conserved RNA sequence and structural features with alternative splicing information to reveal fungal RNA motifs that are candidate regulatory domains, or that might have other possible functions. A total of 15 prominent classes of structured ncRNA candidates were identified, including variant HDV self-cleaving ribozyme representatives, atypical snoRNA candidates, and possible structured antisense RNA motifs. Candidate regulatory motifs were also found associated with genes for ribosomal proteins, S-adenosylmethionine decarboxylase (SDC), amidase, and HexA protein involved in Woronin body formation. We experimentally confirm that the variant HDV ribozymes undergo rapid self-cleavage, and we demonstrate that the SDC RNA motif reduces the expression of SAM decarboxylase by translational repression. Furthermore, we provide evidence that several other motifs discovered in this study are likely to be functional ncRNA elements. CONCLUSIONS: Systematic screening of fungal genomes using a computational discovery pipeline has revealed the existence of a variety of novel structured ncRNAs. Genome contexts and similarities to known ncRNA motifs provide strong evidence for the biological and biochemical functions of some newly found ncRNA motifs. Although initial examinations of several motifs provide evidence for their likely functions, other motifs will require more in-depth analysis to reveal their functions.",2017 Oct 13
"""Bioinformatics Tools"" AND ""Comparative genomics""",29618049,10KP: A phylodiverse genome sequencing plan.,GigaScience,"Understanding plant evolution and diversity in a phylogenomic context is an enormous challenge due, in part, to limited availability of genome-scale data across phylodiverse species. The 10KP (10,000 Plants) Genome Sequencing Project will sequence and characterize representative genomes from every major clade of embryophytes, green algae, and protists (excluding fungi) within the next 5 years. By implementing and continuously improving leading-edge sequencing technologies and bioinformatics tools, 10KP will catalogue the genome content of plant and protist diversity and make these data freely available as an enduring foundation for future scientific discoveries and applications. 10KP is structured as an international consortium, open to the global community, including botanical gardens, plant research institutes, universities, and private industry. Our immediate goal is to establish a policy framework for this endeavor, the principles of which are outlined here.",2018 Mar 1
"""Bioinformatics Tools"" AND ""Comparative genomics""",29981154,Comparative genomics of Vibrio cholerae O1 isolated from cholera patients in Bangladesh.,Letters in applied microbiology,"Whole genome sequencing was utilized to investigate the genomic profile of Vibrio cholerae O1 strains, isolated from symptomatic patients in a low-income urban area of Dhaka, Bangladesh. Comparative genomics using bioinformatics tools were applied to identify major virulence factors, biotype and antimicrobial resistance genes in three V. cholerae O1 strains (VC-1, 2 and 3) isolated from two case patients. A phylogenetic SNP (single nucleotide polymorphism)-based analysis was conducted to infer the relatedness to V. cholerae O1 strains isolated elsewhere. The V. cholerae strains were the El Tor variant carrying ctxB1 (standard classical genotype). SNP-based global phylogeny revealed that the three isolates were strictly clonal and the closest neighbouring genomes were epidemic clones of V. cholerae O1 isolated in 2010 from cholera patients in Pakistan. All strains harboured the integrase gene of the SXT element (int(SXT) ), antimicrobial resistance genes for aminoglycosides, phenicol, sulphonamide and trimethoprim except VC-1 that lacked sulphonamide resistance genes. The multilocus sequence typing (MLST) revealed that the strains belonged to sequence type, ST69. The study provides knowledge on current genetic traits of clinical V. cholerae O1 circulating in urban household clusters of Bangladesh which may help in predicting emergence of new pandemic strains in Bangladesh. SIGNIFICANCE AND IMPACT OF THE STUDY: Vibrio cholerae has frequently experienced genetic changes with rapid evolution of pandemic clones in the Ganges Delta region. Whole genome sequencing can reveal genetic information of current pathogenic V. cholerae in Bangladesh which includes cefotaxime genotypes, virulence factors, altered antimicrobial resistance pattern as well as mobile genetic element compared to global pandemic strains. This study data could be used in planning future surveillance strategies in Ganges Delta region by informing new epidemiology of current outbreak strains.",2018 Oct
"""Bioinformatics Tools"" AND ""Comparative genomics""",31114912,M1CR0B1AL1Z3R-a user-friendly web server for the analysis of large-scale microbial genomics data.,Nucleic acids research,"Large-scale mining and analysis of bacterial datasets contribute to the comprehensive characterization of complex microbial dynamics within a microbiome and among different bacterial strains, e.g., during disease outbreaks. The study of large-scale bacterial evolutionary dynamics poses many challenges. These include data-mining steps, such as gene annotation, ortholog detection, sequence alignment and phylogeny reconstruction. These steps require the use of multiple bioinformatics tools and ad-hoc programming scripts, making the entire process cumbersome, tedious and error-prone due to manual handling. This motivated us to develop the M1CR0B1AL1Z3R web server, a 'one-stop shop' for conducting microbial genomics data analyses via a simple graphical user interface. Some of the features implemented in M1CR0B1AL1Z3R are: (i) extracting putative open reading frames and comparative genomics analysis of gene content; (ii) extracting orthologous sets and analyzing their size distribution; (iii) analyzing gene presence-absence patterns; (iv) reconstructing a phylogenetic tree based on the extracted orthologous set; (v) inferring GC-content variation among lineages. M1CR0B1AL1Z3R facilitates the mining and analysis of dozens of bacterial genomes using advanced techniques, with the click of a button. M1CR0B1AL1Z3R is freely available at https://microbializer.tau.ac.il/.",2019 Jul 2
"""Bioinformatics Tools"" AND ""Comparative genomics""",31394645,Using Comparative Genomics to Leverage Animal Models in the Identification of Cancer Genes. Examples in Prostate Cancer.,Cancer genomics & proteomics,"The identification of cancer biomarkers that will predict susceptibility to disease and subsequent clinical outcome are key components of future genomics-based tailored medical care. Animal models of disease provide a rich resource for the identification of potential cancer biomarkers. Animal models of prostate cancer in particular offer the potential to identify cancer genes associated with dietary and environmental factors. The key issue is the timely and efficient identification of candidate genes that are likely to impact on human prostate cancer. Here, we demonstrate comparative genomics-based methods for the identification of candidate genes in animal models that are associated with human chromosomal regions implicated in prostate cancer. Using publicly available bioinformatics tools, comparisons can be made between cancer-specific datasets, genomic sequencing data and cross-species comparative maps to identify potential cancer biomarkers. This process is demonstrated by using rat models of prostate cancer to identify candidate human prostate cancer genes. Genes identified through these techniques can be screened as biomarkers for response to chemopreventive agents, as well as being used in transgenic or knockout mice to engineer better animal models of human prostate cancer. The bioinformatics techniques outlined here can be used to leverage genomic data from any animal cancer model for use in the study and treatment of human cancer.",2005 May-Jun
